,distr,address,flagw,flacg,flags,latitude,longitude,name
549,район Щукино,ул Авиационная д 20,нет,нет,нет,37.4661278135,55.8100063537,Озелененная территория по ул. Авиационная
550,Пресненский район,ул 1905 года,нет,нет,нет,37.5620143485,55.763663327,Сквер на улице 1905 года у метро
551,Пресненский район,Шмитовский пр-д д 2,нет,нет,нет,37.5572301237,55.759547124,Сквер у районной управы
552,район Щукино,Волоколамское шоссе д 30,нет,нет,нет,37.4748484357,55.8134141388,Озелененная территория по Волоколамскому шоссе
553,Пресненский район,Кудринская площадь д 1,нет,да,нет,37.5820404306,55.7592627423,Сквер по Кудринской площади
554,Пресненский район,Красногвардейский бульвар д 1,нет,нет,нет,37.5428382882,55.7584658576,Сквер на Красногвардейском бульваре у дома 1
555,Пресненский район,ул Подвойского,нет,нет,нет,37.5347409213,55.759381454,Сквер по ул Подвойского
556,Пресненский район,Тверской бульвар,нет,да,нет,37.6048959613,55.7645595991,Сквер на Тверском бульваре
557,район Строгино,ул Кулакова д 6 к 3 д 8,нет,да,нет,37.4023279477,55.8181409904,Сквер по ул. Кулакова
558,район Строгино,ул Исаковского д 28 к1,нет,нет,нет,37.415472897,55.8051124313,Сквер по ул Исаковского
559,район Арбат,Никитский бульвар,нет,нет,нет,37.6005526045,55.7547891723,Сквер на Никитском бульваре
560,Пресненский район,Тишинская пл,нет,нет,нет,37.5828421313,55.7706211738,Сквер на Тишинской площади
561,Пресненский район,Б Грузинская д 20,нет,нет,нет,37.5796447442,55.7659393248,Сквер по Большой Грузинской улице
562,Пресненский район,ул Заморенова,нет,нет,нет,37.5769565706,55.7594460021,Озелененный участок у метро Краснопресненская
563,Пресненский район,ул Сергея Макееева,нет,нет,нет,37.5553583735,55.7683425607,Озелененный участок по ул. Сергея Макеева
564,Пресненский район,Озелененная территория от Большой Грузинской до Зоологической улицы,нет,да,нет,37.5798101849,55.7664342041,Озелененная территория от Большой Грузинской до Зоологической улицы
565,Пресненский район,Б Садовая д 5,нет,нет,нет,37.5920338955,55.7684662035,"Сквер на улице Большая Садовая, у дома 5"
566,Тверской район,Страстной бульвар,нет,да,нет,37.6089243026,55.7670929709,Сквер на Страстном бульваре
567,Тверской район,Петровский бульвар,нет,нет,нет,37.6150525663,55.7681690732,Сквер на Петровском бульваре
568,Мещанский район,Рождественский бульвар,нет,нет,нет,37.6250972448,55.7667502016,Сквер на Рождественском бульваре
569,Красносельский район,Сретенский бульвар,нет,да,нет,37.6316451554,55.7668205725,Сретенский бульвар
570,Басманный район,Покровский бульвар,нет,нет,нет,37.6464645012,55.7578312309,Покровский бульвар
571,Таганский район,Яузский бульвар,нет,нет,нет,37.6468869489,55.7528866392,Яузский бульвар
572,Таганский район,улица Средняя Калитниковская,да,нет,нет,37.6885480562,55.7344915502,Сквер у Калитниковского пруда
573,Таганский район,улица Талалалихина пересечение с улицей Малая Калитниковская,нет,нет,нет,37.6766048375,55.7366331668,Талалихинский сквер
574,Таганский район,улица Рогожский вал,нет,нет,нет,37.6757498461,55.7436398098,Сквер по улице Рогожский Вал
575,район Строгино,ул Таллинская д 3 к1 до д 19 к1,нет,нет,нет,37.3912564367,55.8006238375,Сквер по ул. Таллинская
576,Таганский район,улица Средняя Калитниковская,нет,да,нет,37.6865795031,55.7354788776,Калитниковский сквер
577,Таганский район,Сибирский проезд дом 20,нет,нет,нет,37.6814043219,55.7333318982,Боенский сквер
578,Таганский район,улица Абельмановская дом 28-49,нет,нет,нет,37.6684823269,55.7336317823,Крестьянский сквер
579,район Северное Тушино,ул Катукова д 2 до д 22 к1,нет,нет,нет,37.4080783845,55.8029461272,Бульвар по ул Катукова
580,Таганский район,улица Абельмановская 17,нет,нет,нет,37.6687396447,55.7338671004,Абельмановский сквер
581,Таганский район,пересечение улицы Николоямская и улицы Верхняя Радищевская,нет,нет,нет,37.6470628585,55.7472852752,Интернациональный сквер
582,Таганский район,улица Николоямская дом 1,нет,нет,нет,37.6458687724,55.7486186007,Сквер у библиотеки Иностранной литературы
583,Таганский район,улица Большая Андроньевская 25-33,нет,нет,нет,37.6719496084,55.7398708795,Фестивальный сквер
584,Таганский район,переулок Большой Факельный дом 24,нет,нет,нет,37.6689762011,55.7414551291,Вокзальный сквер
585,Таганский район,Андроньевский проезд дом 2-8,нет,нет,нет,37.6689393297,55.7482583565,Рублевский сквер
586,Таганский район,Серебрянический переулок,нет,нет,нет,37.6461958333,55.7494255328,Сквер по Серебряническому переулку
587,Таганский район,улица Народная дом 11-13,нет,нет,нет,37.6504751073,55.7375050225,Народный сквер
588,район Хорошёво-Мнёвники,Ул Народного Ополчения д 20к1,нет,да,нет,37.4796286063,55.7755780622,Озелененная территория по ул Народного Ополчения
589,Таганский район,пересечение шоссе Энтузиастов и улицы Золоторогожский вал,нет,нет,нет,37.6814719937,55.7473614782,Сквер у метро Площадь Ильича
590,район Хорошёво-Мнёвники,ул Маршала Жукова д 2,нет,нет,нет,37.50332139,55.7769286182,Озелененная территория по ул 3я Хорошевская
591,Таганский район,улица Динамовская,нет,нет,нет,37.6645309472,55.732432682,Сквер у метро Крестьянская застава
592,район Покровское-Стрешнево,ул Вишневая д 6,нет,да,да,37.4469898617,55.8303197,Сквер по ул Вишневая
593,Таганский район,пересечение Саринского проезда и Крестьянской площади,нет,нет,нет,37.6660516753,55.7315614636,Сквер Крестьянская застава
594,Таганский район,Рогожский вал дом 4,нет,нет,нет,37.67415217,55.7414739193,Сквер по Рогожскому валу у дома 4
595,район Покровское-Стрешнево,ул Вишневая д7,нет,да,нет,37.4450849337,55.829500391,Сквер у ДК «Красный Октябрь»
596,район Покровское-Стрешнево,ул Свободы д10,нет,да,да,37.4530833351,55.8294869607,Сквер у кинотеатра «Метеор»
597,район Митино,Пятницкое шоссе д23,нет,да,нет,37.3664775916,55.8493991481,Сквер на Пятницком шоссе (территория памятника)
598,район Покровское-Стрешнево,ул Свободы д13 к2,нет,нет,нет,37.4516940718,55.830028899,Сквер у Префектуры
599,район Покровское-Стрешнево,ул Свободы д 18,нет,нет,нет,37.4537662524,55.8328423399,Сквер по ул Свободы
600,район Митино,Ангелов переулок д6к3,нет,да,да,37.3479098698,55.856984367,Бульварная зона микрорайона 4
601,район Покровское-Стрешнево,ул Свободы д 23,нет,нет,нет,37.4531582339,55.8339130999,Сквер на ул Свободы
602,район Замоскворечье,улица Пятницкая дом 25,нет,нет,нет,37.6304527923,55.7424952072,Сквер у Радиокомитета
603,район Замоскворечье,Космодамианская набережная дом 4/22,нет,нет,нет,37.640649787,55.7440798525,Сквер по Космодамианской набережной у домов 4-22
604,район Покровское-Стрешнево,От ул Вишневой до ул Большая Набережная д 25 к1,нет,нет,да,37.4480368265,55.8354744309,Озелененная территория по ул Малая Набережная
605,район Замоскворечье,улица Садовническая дом 36,нет,нет,нет,37.6356018784,55.7454774119,Устьинский сквер
606,район Митино,ул Митинская д52к2,нет,да,нет,37.3559358069,55.8534024828,Бульварная зона микрорайона 3
607,район Замоскворечье,улица Пятницкая дом 67,нет,нет,нет,37.6270446296,55.7322030637,Сквер по улице Пятницкая у дома 67
608,район Митино,ул Митинская 17к3,нет,да,да,37.3562051893,55.8433332033,Бульварная зона микрорайона 7
609,район Южное Тушино,ул Свободы д 26,нет,да,нет,37.4548576317,55.8399693684,Сквер «Салют»
610,район Ясенево,"город Москва, вдоль улицы Инессы Арманд (от проезда Карамзина до улицы Голубинской)",нет,нет,нет,37.5468575887,55.5942602317,Сквер по улице Инессы Арманд
611,район Люблино,улица Ставропольская,нет,нет,нет,37.7560411417,55.6828837636,Сквер им. Авдеева
612,район Тропарёво-Никулино,Покрышкина 4,нет,нет,нет,37.4803566737,55.6643871923,Сквер у ТЦ Звездочка
613,район Митино,от Ангелова переулка д 5 до 3-го Митинского переулка д 6к2,нет,да,нет,37.3468786607,55.8526953069,Бульварная зона микрорайона 5
614,район Митино,Пятницкое шоссе д45,нет,нет,нет,37.3485446005,55.8589623602,Озелененная территория по Пятницкому шоссе микрорайон 4
