,distr,address,flagw,flacg,flags,latitude,longitude,name
0,район Хамовники,"Пересечение улиц Усачёва и Трубецкой, Усачёва и Хользунова переулка",да,да,да,37.5737360338,55.729297266,Структурное подразделение Парк Усадьба Трубецких в Хамовниках
1,район Преображенское,"Расположен между стадионом Локомотив, Черкизовским прудом, зданиями по адресу Большая Черкизовская дом 21, строение 2 и Большая Черкизовская, дом 23",нет,да,да,37.737510764,55.8037774471,Черкизовский парк
2,Гагаринский район,"Главный вход в парк расположен со стороны улицы Косыгина, рельеф местности спокойный, резкопересечённый, с перепадом высот до 30 м, площадки и дорожки выложены плиткой и асфальтом, за корпусами расположен парк с многолетними деревьями",да,нет,да,37.5471251697,55.7007757035,Памятник садово-паркового искусства – «Парк Дворца творчества детей и юношества» по адресу ул.Косыгина д.17
3,район Филёвский Парк,"улица Большая Филёвская, дом 9",нет,да,да,37.5029716364,55.748214268,Структурное подразделение «Детский парк «Фили»
4,район Ясенево,Восточная часть района Ясенево,да,да,да,37.5800290074,55.6452302977,Природно-исторический парк «Битцевский лес»
5,район Куркино,"улица Вилиса Лациса, дом 18, корпус 3",да,да,да,37.4371982742,55.8768395636,Природно-исторический парк «Тушинский»
6,район Тропарёво-Никулино,"между МКАД и улицей Академика Анохина, Тропаревской улицей и Востряковским шоссе",да,да,да,37.4576472061,55.6667939766,Ландшафтный заказник «Тропарёвский»
7,район Кузьминки,"Кузьминская улица, дом 10",да,да,да,37.7656430977,55.6986720198,Природно-исторический парк «Кузьминки-Люблино»
8,район Матушкино,Зеленоград лесопарковая зона между 4 и 12 микрорайоном,нет,да,нет,37.191356155,55.996899295,Крюковский лесопарк Дунькин пруд
9,район Бирюлёво Восточное,"между Липецкой улицей, владение 5А и Шипиловским проездом, до улицы Борисовских Прудов, напротив дома 16",да,да,да,37.6884094855,55.6386271392,Природно-исторический парк «Царицыно»
10,Останкинский район,"1-я Останкинская улица, дом 1, строение 1",да,нет,нет,37.5919510773,55.8459382077,Природно-исторический парк «Останкино»
11,район Восточное Измайлово,лесопарк Измайловский,да,да,да,37.8386078599,55.8075995013,Природно-исторический парк «Измайлово»
12,район Косино-Ухтомский,"Черное озеро, Белое озеро, устье реки Рудневки",да,да,да,37.9228823917,55.731292306,Природно-исторический парк «Косинский»
13,район Тёплый Стан,Теплостанская возвышенность,да,да,да,37.4859444401,55.6446137531,Ландшафтный заказник «Тёплый Стан»
14,район Хорошёво-Мнёвники,"4-я линия Хорошевского Серебряного Бора, дом 74, строение 1",да,да,да,37.4444511757,55.7904006554,Памятник природы «Серебряный Бор»
15,район Покровское-Стрешнево,"Иваньковское шоссе, дом 8, строение 2",да,да,да,37.4720234106,55.8316088747,Природно-исторический парк «Покровское-Стрешнево»
16,Молжаниновский район,"Между Новосходненским шоссе, деревней Новоподрезково и рекой Сходня",нет,нет,нет,37.3418433835,55.9316271783,Ландшафтный заказник «Долина реки Сходни в районе Молжаниновский»
17,Можайский район,"между МКАД, Кутузовским проспектом, Мичуринским проспектом и третьим транспортным кольцом",да,да,да,37.5390459311,55.7319322277,Природный заказник «Долина реки Сетунь»
18,район Крылатское,"между Москвой-рекой и Молодогвардейской улицей, Большой Филевской улицей и МКАД",да,да,да,37.3958450668,55.8301725641,Природно-исторический парк «Москворецкий»
19,район Сокольники,Парк культуры и отдыха Сокольники,да,нет,нет,37.6692024826,55.8195695658,Природно-исторический парк «Сокольники»
20,район Куркино,"Родионовская улица, дом 16, строение 1",да,да,нет,37.3842408592,55.9112226923,Ландшафтный заказник «Долина реки Сходни в Куркино»
21,район Филёвский Парк,"Большая Филёвская улица, дом 22",да,да,да,37.4934751768,55.7528117744,Парк «Фили»
22,Таганский район,"Таганская улица, дом 40 - 42",нет,да,да,37.6663627165,55.7387100345,Парк Таганский (основная территория)
23,район Якиманка,"улица Крымский Вал, владение 2",нет,да,нет,37.6094721072,55.7332598952,Музеон
24,район Лефортово,"Красноказарменная улица, владение 1",да,да,да,37.690364234,55.7663811271,Усадьба «Лефортово»
25,район Измайлово,городок имени Баумана,да,нет,нет,37.7667084092,55.7905303854,Усадьба «Измайлово»
26,район Хамовники,"улица Плющиха, дом 57, строение 4",нет,да,нет,37.5768143262,55.7374044197,Сквер «Девичье поле»
27,Лосиноостровский район,"Стартовая улица, дом 10",да,да,да,37.7008668518,55.8891043248,Парк у Джамгаровского пруда
28,район Вешняки,пересечение улицы Юности и аллеи Жемчуговой,да,да,да,37.811795866,55.732414333,Парк у прудов «Радуга»
29,Тимирязевский район,"Тимирязевская улица, дом 27",да,да,да,37.5681204708,55.8218769709,Парк «Дубки»
30,Дмитровский район,пересечение улиц Ангарской и Софьи Ковалевской,да,да,да,37.5304376425,55.8849657937,Парк «Ангарские пруды»
31,район Северное Измайлово,"Щелковское шоссе, владение 10 - 12",нет,да,да,37.7682195201,55.8061707797,Парк «Сиреневый сад»
32,район Братеево,"улица Борисовские пруды, дом 1",да,да,да,37.7086643833,55.6354876679,Зона отдыха Борисовские пруды
33,район Покровское-Стрешнево,"улица Свободы, дом 2, строение 2",да,да,да,37.4535506145,55.8221108183,Парк «Долина реки Химки»
34,район Щукино,между улицами Маршала Новикова и Максимова,нет,да,нет,37.4666561787,55.8021156339,Лесной массив по улице Максимова
35,район Раменки,между улицей Дружбы и Мичуринским проспектом,да,да,да,37.5260228547,55.7115776732,Парк перед посольством КНР
36,Войковский район,парк Воровского,нет,да,да,37.5031897785,55.8215432078,Парк имени Воровского
37,район Марьино,"улица Белореченская, дом 43",да,да,да,37.7728889298,55.6622101557,Парк Дюссельдорфский
38,Донской район,"Загородное шоссе, владение 2",нет,да,да,37.6120518117,55.6975801353,Парк Детский
39,район Дорогомилово,"улица Братьев Фонченко, дом 7",нет,да,да,37.5162706998,55.7335526847,Парк Победы на Поклонной горе
40,район Лефортово,"Самокатная улица, дом 2, корпус 1",нет,да,да,37.6754720866,55.7583777675,Парк имени 1-го Мая
41,район Якиманка,"улица Крымский Вал, дом 9",да,да,да,37.6048873274,55.7275621806,ЦПКиО им. М. Горького
42,район Кузьминки,"Кузьминский парк, дом 1, строение 2",нет,да,да,37.7709745278,55.6945255624,Парк культуры и отдыха «Кузьминки» (основная территория)
43,Обручевский район,пересечение Ленинского проспекта и улицы Островитянова,нет,да,да,37.4883772353,55.650443297,Бывшая усадьба «Богородицкое»
44,район Соколиная Гора,"Измайловское шоссе, Семёновский проезд",нет,да,да,37.7166975614,55.7796088472,Семёновский парк
45,район Хамовники,"Новодевичий проезд, дом 1",да,да,нет,37.5604044714,55.7274446041,Парк «Новодевичьи пруды»
46,район Аэропорт,"Ленинградский проспект, дом 40",нет,да,нет,37.5532271717,55.7947317789,Парк «Петровский»
47,район Левобережный,парк Дружба,да,да,нет,37.4853630704,55.8559171992,Парк «Дружба»
48,район Восточное Дегунино,"Керамический поезд, дом 65-71",нет,да,да,37.5633933722,55.8911497065,Парк «Северные Дубки»
49,район Печатники,улица Гурьянова от дома 25 до 43,нет,да,да,37.7154816026,55.6850175224,Парк «Печатники»
50,район Раменки,улица Косыгина,нет,нет,нет,37.5336809998,55.7085047548,Озеленённая территория МГУ
51,район Тропарёво-Никулино,пересечение Ленинского проспекта с проспектом Вернадского,нет,да,да,37.4777213752,55.6552701517,Парк «Никулино»
52,район Лианозово,"Угличская улица, дом 13",да,да,да,37.5738222574,55.9023194549,Парк Лианозовский
53,Лосиноостровский район,"улица Менжинского, дом 6, строение 3",нет,да,да,37.6847368767,55.8695952224,Парк Бабушкинский (основная территория)
54,район Выхино-Жулебино,"Тополёвая аллея, владение 6, строение 1",нет,нет,нет,37.7857015722,55.6882978966,Музей русской усадебной культуры «Усадьба князей Голицыных «Влахернское-Кузьминки»
55,район Южное Тушино,Аэродромная улица,нет,да,да,37.425567012,55.8476905048,Парк «Дубовая роща «Маяк»
56,район Гольяново,между улицами Уральская и Алтайская,да,да,да,37.8122234187,55.821909281,«Сквер в Гольяново»
57,район Сокол,"Новопесчаная улица, дом 12",нет,да,да,37.5105216848,55.8012858442,Мемориальный парк героев Первой Мировой войны
58,район Левобережный,Парк Северный речной вокзал,нет,да,нет,37.4670777411,55.8555726052,Парк «Северного речного вокзала»
59,Хорошёвский район,"улица Куусинена, дом 8",нет,да,да,37.5148092551,55.7842103753,Парк «Берёзовая роща»
60,район Аэропорт,"Ленинградский проспект, владение 59",нет,да,да,37.5204706978,55.8028360302,Чапаевский парк
61,район Свиблово,"между Сельскохозяйственной улицей, Лазоревым проездом и проездом Серебрякова",да,да,да,37.6328263403,55.8563718665,"Сквер, прилегающий к Лазоревому проезду"
62,район Отрадное,пересечение Алтуфьевского шоссе с Нововладыкинским проездом,да,да,да,37.5876904891,55.8516290154,Парк «Долина реки Лихоборки»
63,район Лианозово,"Алтуфьевское шоссе, дом 147-149",да,да,да,37.587139375,55.908929255,Усадьба «Алтуфьево»
64,район Ивановское,"Свободный проспект, дом 2",да,да,да,37.8212375578,55.7687727466,Зона отдыха «Терлецкая Дубрава»
65,район Проспект Вернадского,пересечение Мичуринского проспекта с улицей Лобачевского,да,да,да,37.4794449575,55.6837834715,Парк «Олимпийской деревни»
66,район Митино,между улицами Пинягинская и Митинская,да,да,да,37.3723681537,55.8414163832,Ландшафтный парк «Митино»
67,район Ивановское,"Свободный проспект, владение 11-17",нет,да,да,37.8220654938,55.7626937085,Ивановский лесопарк
68,район Марьино,пересечение улиц Перерва и Братиславская,нет,да,да,37.7546441289,55.662971113,Парк «имени Артёма Боровика»
69,район Чертаново Центральное,"Чертановская улица, владение 32",да,нет,нет,37.5848284438,55.6185098772,Массив по улице Чертановская дом 32
70,район Солнцево,Боровское шоссе,да,нет,нет,37.3961854009,55.6542649654,Парк «Центральный»
71,район Измайлово,пересечение улицы Первомайской и Измайловского проезда (зона Серебряно-виноградных прудов),да,нет,нет,37.7624141103,55.7884889947,Зона Серебряно-Виноградных прудов
72,район Люблино,между улицами Краснодонская и Заречье,да,нет,нет,37.7591690279,55.6879550437,Присоединенная территория между улицами Краснодонская и Заречье
73,район Нагатино-Садовники,"проспект Андропова, дом 58А",нет,да,да,37.6479385262,55.6608236985,Парк Садовники
74,район Царицыно,"Бакинская улица, дом 24",да,да,да,37.6474782812,55.6210856111,Аршиновский парк
75,район Марьино,"Батайский проезд, дом 3 - 65, улица Поречная, дом 3 - 21",да,да,да,37.7275895245,55.643186003,Парк «850-летия Москвы» (основная территория)
76,Обручевский район,"Воронцовский парк, владения 1, 2, 5, 6, 7",да,да,да,37.5330262393,55.6681287997,Воронцовский парк
77,Дмитровский район,"Лобненская улица, дом 13А",нет,да,нет,37.5316529404,55.8891006988,Парк «Вагоноремонт»
78,район Раменки,"Воробьевская набережная, Андреевская набережная",да,да,да,37.5422777315,55.7264752528,Природный заказник «Воробьёвы горы»
79,район Измайлово,"Аллея Большого Круга, дом 7 (границы территории: 1-й и 2-й улицы Измайловского Зверинца, Электродного проезда, шоссе Энтузиастов, Главной аллеи, Измайловского проспекта - до трамвайных путей)",да,да,да,37.7661249928,55.7738622761,Измайловский парк
80,Тверской район,"улица Каретный ряд, дом 3, строение 7",нет,да,нет,37.6114309786,55.7701938,Сад «Эрмитаж»
81,Басманный район,"Старая Басманная улица, дом 15",нет,да,да,37.6588656259,55.769550168,Сад имени Н. Э. Баумана
82,Пресненский район,"Мантулинская улица, дом 5",да,да,да,37.5476718614,55.7541096075,Парк Красная Пресня (основная территория)
83,Останкинский район,"1-я Останкинская улица, дом 5",нет,нет,нет,37.6103426672,55.8237856351,Музей-усадьба «Останкино»
84,район Вешняки,"улица Юности, дом 2",да,нет,нет,37.8105560609,55.738668072,Государственный музей керамики и «Усадьба Кусково XVIII века»
85,район Орехово-Борисово Северное,"Каширское шоссе, дом 80, корпус 1",да,да,да,37.7325351921,55.6310115707,Парк по Борисовским прудам
86,район Бибирево,"Белозерская улица, дом 19",да,да,да,37.6238321152,55.8949102128,Парк «Этнографическая деревня Бибирево»
87,район Северное Медведково,от улицы Широкая до проезда Дежнёва,да,да,да,37.656757488,55.8801705479,Пойма реки Яуза вдоль улицы Широкая
88,Донской район,"Загородное шоссе, дом 2А",да,да,да,37.6141899992,55.6999286898,Парк у пруда «Бекет»
89,район Чертаново Центральное,"Кировоградская улица, дом 42",да,нет,нет,37.5946894125,55.6067604242,Каскад прудов по улице Кировоградская
90,район Нагатинский Затон,"проспект Андропова, дом 39",да,да,да,37.6780088299,55.6757773559,Усадьба «Коломенское»
91,район Люблино,"Люблинская улица, владение 53",да,да,да,37.74132163,55.6902884456,Усадьба «Люблино»
92,Бабушкинский район,"между Сухонской улицей, проездом Шокальского, улицей Осташковская, Олонецким проездом и улицей Менжинского",да,да,да,37.6676837884,55.8830536641,Сквер по Олонецкому проезду
93,район Ростокино,"проспект Мира, владение 161-163 и проспект Мира, владение 186-188",нет,да,да,37.6545343994,55.8331888787,Парк Ростокино
94,район Фили-Давыдково,рядом со станцией метро Славянский бульвар,нет,нет,нет,37.4823158178,55.7310595367,Можайский плодовый сад
95,район Проспект Вернадского,"улица Удальцова, дом 22А",да,да,да,37.5056320416,55.6878581843,Парк «50-летия Октября»
96,район Строгино,между Неманским проездом и МКАД (Плодовый сад),нет,да,да,37.3913340376,55.8105509187,Плодовый сад по Неманскому проезду
97,район Перово,пересечение Электродной улицы и шоссе Энтузиастов,да,нет,нет,37.7544046255,55.7582580896,Парк у Владимирского пруда
98,район Сокольники,"улица Сокольнический вал, дом 1",да,да,да,37.6756979784,55.817755855,Парк Сокольники
99,район Северное Тушино,"улица Свободы, владение 50-70",да,да,да,37.4479743158,55.8707141595,Парк «Северное Тушино»
100,район Перово,"улица Лазо, владение 7",да,да,да,37.776614973,55.7442910406,Парк культуры и отдыха «Перовский»
101,район Бирюлёво Восточное,"Дольская улица, дом 1",да,да,да,37.6917988922,55.6375077124,Государственный музей-заповедник «Царицыно»
102,Бутырский район,"улица Руставели, владение 7",да,да,да,37.5894389074,55.8155360088,Парк «Гончаровский»
103,Пресненский район,"Большая Грузинская улица, дом 1",да,нет,нет,37.5783866059,55.7610421257,Московский Зоопарк
104,район Ростокино,между улицей Вильгельма Пика и 1-й улицей Леонова,да,да,нет,37.644528868,55.843389007,Парк «Сад будущего»
105,Останкинский район,"улица Академика Королёва, дом 19А",нет,да,да,37.6058159536,55.82062844,Парк «Дубовая роща по Прудовому проезду»
106,район Братеево,улица Наташинская,нет,да,да,37.7400161706,55.632497278,Парк «Пойма реки Городни»
107,район Северное Медведково,вдоль улицы Северодвинская,да,да,да,37.6840198834,55.8932743398,Озелененная территория в пойме рики Яуза
108,район Марьино,"Новомарьинская улица, дом 7",да,да,да,37.752968972,55.6556980459,Парк Братиславский
109,район Марьино,"улица Верхние Поля, дом 8",нет,да,да,37.7437218223,55.6628434578,Парк героев Отечественной Войны 1812 года
110,район Солнцево,"между улицей Богданова, дом 32 и Боровским шоссе",нет,да,да,37.395252545,55.6554549024,Парк «60-летия Октября» в районе Солнцево
111,район Зюзино,"Внутри квартала жилого комплекса между домом 2А по Симферопольскому бульвару, домом 16 по Фруктовой улице и домом 7, корпус 2 по Нахимовскому проспекту",нет,да,нет,37.6092808075,55.6633621243,"Территория, прилегающая к Симферопольскому бульвару, дом 2А"
112,Ломоносовский район,"Ленинский проспект, дома 82-86",нет,да,да,37.5321768384,55.6801241182,Сквер по Ленинскому проспекту
113,район Котловка,"Нахимовский проспект, владение 6",да,да,нет,37.5975886768,55.6665656828,Сквер по Нахимовскому проспекту
114,Академический район,"улица Шверника, дома 7-11",нет,да,нет,37.5889190648,55.693610688,Зона отдыха «Новые Черёмушки 10С»
115,район Зюзино,"улица Каховка, дома 9-13",да,да,нет,37.5882818859,55.6486429569,Парк «Зюзино»
116,район Южное Бутово,"вдоль линии легкого метро, станция Бунинская аллея",нет,нет,нет,37.5142843346,55.5377245766,Парковая зона вдоль линии легкого метро «Бутовской линии»
117,район Коньково,улица Академика Арцимовича,да,да,да,37.5175784106,55.6424142869,Парковая зона по улице Академика Арцимовича
118,район Южное Бутово,улица Академика Понтрягина,нет,нет,нет,37.5003736238,55.5403100892,Парковая зона на улице Академика Понтрягина
119,район Тёплый Стан,"улица Профсоюзная, дома 130, 132",нет,нет,нет,37.5153316035,55.6296719041,Сквер «Родничок»
120,район Коньково,"улица Профсоюзная, дома 96-98",нет,да,нет,37.5259344788,55.6480026419,Сквер «Беляево-Богородское»
121,район Северное Бутово,"Территория ограничена улицами Старобитцевская, Ратная, Старокачаловская и бульвар Дмитрия Донского",да,да,нет,37.5807119247,55.5727361375,Парковая зона на территории природного комплекса № 92 «Долина реки Битца»
122,район Зюзино,пересечение улиц Болотниковская и Керченская,нет,да,да,37.5884276279,55.6605035883,Сквер на пересечении улиц Болотниковская и Керченская
123,район Ясенево,улица Айвазовского (разделительный газон на участке от Литовского бульвара до Севастопольского проспекта),нет,нет,нет,37.5422624611,55.6180185693,Бульвар вдоль улицы Айвазовского
124,район Зюзино,На пересечении Симферопольского бульвара и Нахимовского проспекта,нет,нет,нет,37.6116946471,55.6635558832,Сквер на пересечении Симферопольского бульвара и Нахимовского проспекта
125,район Тёплый Стан,"Профсоюзная улица, дом 142",нет,да,нет,37.5103295158,55.6257751173,Сквер «70-летия Победы в Великой Отечественной Войне 1941-1945 годов»
126,район Тёплый Стан,улица Академика Виноградова,да,да,нет,37.488062946,55.6356609925,Зона отдыха «Тропарёво»
127,район Котловка,"Севастопольский проспект, дом 53",да,да,да,37.6051163298,55.6724791706,Парковая зона в пойме рек Котловка и Коршуниха
128,район Черёмушки,улица Новочеремушкинская (участок от улицы Цюрупы до улицы Болотниковской),нет,нет,нет,37.5641533919,55.6673762781,Сквер имени Федора Григорьевича Ерастова
129,район Ясенево,На пересечении проезда Карамзина и улицы Инессы Арманд,нет,да,нет,37.5426877529,55.590271294,Прилегающая территория к пруду по улице Инессы Арманд
130,район Зюзино,"Фруктовая улица, дом 11",нет,да,нет,37.6078758294,55.6616214365,Сквер ДК «ЗИЛ»
131,район Отрадное,"Вдоль Юрловского проезда, напротив дома 17",да,да,да,37.6194750911,55.8714216909,Пойма реки Чермянка (правый берег) вдоль Юрловского проезда до проезда Дежнёва
132,район Северный,Северный проезд,нет,нет,нет,37.5482594854,55.9432208633,Парк на Северном проезде
133,Ярославский район,Пересечение Ярославского шоссе и Хибинского проезда,нет,да,да,37.6837898538,55.8582424099,Хибинский сквер
134,район Бибирево,От станции метро Бибирево вдоль Костромской улицы до улицы Пришвина,нет,да,да,37.5926588738,55.8889120951,Пешеходная зона вдоль Костромской улицы
135,район Северное Медведково,вдоль Осташковской улицы,нет,да,нет,37.6729741834,55.8924763597,Осташковский сквер
136,район Отрадное,между улицей и улицей,нет,да,нет,37.5994124212,55.8628269664,Озеленённая территория - между улицей Санникова и улицей Хачатуряна
137,район Марьина Роща,улица Шереметьевская,нет,да,нет,37.6176331885,55.7944812001,Парковая зона у центра имени Райкина
138,район Бибирево,Пойма реки Чермянка в районе дома 28 по улице Плещеева,нет,нет,нет,37.6161530297,55.8789028451,"пойма реки Чермянка вдоль ул. Плещеева, д.28"
139,район Отрадное,Улица,нет,да,нет,37.6338932452,55.8624200635,Парковая зона в пойме реки Чермянка - от Заповедной улицы до улицы
140,район Отрадное,шоссе,нет,да,нет,37.5784320259,55.8536740452,Парковая зона реки Лихоборка
141,Алексеевский район,улица Церковная горка,нет,да,да,37.639934773,55.8183806053,Парковая зона «Алексеевская горка»
142,район Отрадное,вдоль Юрловского проезда,нет,да,нет,37.6267823758,55.865740337,Парковая зона в пойме реки Чермянка от проезда Дежнёва вдоль Юрловского проезда
143,Бабушкинский район,Чукотский проезд,нет,да,нет,37.6471573854,55.8653896329,"Парковая зона в пойме реки Яуза вдоль Ленской улицы, Чукотского проезда"
144,район Отрадное,улица,нет,да,да,37.5977627623,55.8612201874,Парк Отрада
145,район Северный,6-я северная линия,нет,да,нет,37.5543514284,55.9401406048,Парк в районе Северной водопроводной станции
146,район Марьина Роща,улица Шереметьевская,нет,да,нет,37.6065179815,55.7976192159,Сквер вдоль улицы Полковая
147,район Отрадное,проезд,нет,да,нет,37.6233611583,55.8691313544,Парковая зона в долине реки Чермянки
148,район Северный,1-я Северная линия,нет,нет,нет,37.5482696132,55.9438689282,Парк на 1-ой Северной линии
149,район Савёлки,"город Зеленоград, 5а микрорайон у корпуса 533",нет,да,да,37.2572762799,55.992066207,Народный парк «Бабочка»
150,район Силино,"город Зеленоград, территория лесопарковой зоны у корпуса 1207",да,да,нет,37.1944852015,55.9967562583,Зона отдыха «Дунькин пруд»
151,район Савёлки,"город Зеленоград, 5-й микрорайон, проезд №5253",нет,да,да,37.2360493769,56.0011960705,Парк «Ровесник»
152,район Савёлки,"город Зеленоград, Центральная площадь",да,нет,нет,37.2134627916,55.9879507934,Парк 40-летия Победы
153,район Старое Крюково,"город Зеленоград, Территория между большим городским прудом и Озерной аллеи",нет,нет,нет,37.2128361614,55.9869753317,Дендропарк в районе Старое Крюково
154,район Силино,"город Зеленоград, вдоль корпуса 1121",нет,нет,нет,37.1799631373,55.9964593968,Сквер имени 50-летия города Зеленограда
155,район Матушкино,"город Зеленоград, от корпуса 416 до корпуса 456",нет,да,да,37.2093402296,55.9922010292,Сквер у 4-го микрорайона города Зеленограда
156,район Силино,"г Зеленоград, 10 мкр от Школьного озера до улицы Филаретовская",да,да,да,37.1704098768,55.9908270808,Народный парк «Панфиловский»
157,район Ново-Переделкино,улица Новоорловская дом 5,нет,да,да,37.3627650447,55.6362062901,Парк на Новоорловской улице
158,район Фили-Давыдково,от дома 56 корпус 2 до дома 64 по улице Кастанаевская,да,да,да,37.4584164154,55.7328481106,Парк вдоль «Мазиловского» пруда
159,район Дорогомилово,Студенческая улица дом 9,нет,да,нет,37.5512422089,55.7432736359,Парк по Студенческой улице
160,район Крылатское,от дома 33 корпус 3 по улица Крылатская до дома 30 корпус 7 по улице Крылатские холмы,нет,да,да,37.4071028121,55.7693262561,Парк в Крылатском
161,Можайский район,улица Говорова дом 1,нет,да,да,37.3930530866,55.715618597,Можайский парк «Дубки»
162,район Раменки,улица Раменки от дом 15 корпус 1 до дом 15 корпус 2,да,да,нет,37.4965579343,55.6882020063,Парк на улице Раменки
163,район Очаково-Матвеевское,улица Озерная дом 17 - дом 27 корпус 2,да,нет,нет,37.4564066676,55.6728387406,Парк прилегающий к пойме реки Очаковка
164,район Солнцево,Боровское шоссе дом 14-16,нет,нет,нет,37.4049232757,55.6588312664,Парк по Боровскому шоссе
165,район Кунцево,Ивана Франко улица дом 12-16,нет,да,да,37.4457898035,55.7304303263,Парк у Префектуры Западного административного округа города Москвы
166,район Фили-Давыдково,Славянский бульвар дом 5 - дом 9,нет,да,да,37.4705412949,55.7248276589,Давыдковский микропарк
167,Можайский район,Можайское шоссе дом 4,нет,да,да,37.4419830013,55.7225810631,Парк «Можайский»
168,район Кунцево,улица Василия Ботылева дом 37 строение 2,нет,да,да,37.3511507875,55.7871823344,Парк в посёлке Рублёво
169,район Тропарёво-Никулино,улица Академика Анохина владение 2,нет,да,нет,37.4673219616,55.6712303368,Парк по улице Академика Анохина
170,район Тропарёво-Никулино,Вдоль улицы Никулинская,да,да,да,37.4525185615,55.6710793841,Парк «Школьников» прилегающий к Олимпийской деревне
171,район Соколиная Гора,"шоссе Энтузиастов, дом 19",нет,нет,нет,37.7256415059,55.7534373439,Сквер у колледжа
172,район Новокосино,Территория напротив дома 29 по Салтыковской улице,да,нет,нет,37.8734630219,55.7381981788,Парк между Салтыковской улицей и Салтыковским лесопарком
173,район Новогиреево,"Зелёный проспект, дом 26",нет,да,да,37.7964368238,55.7508333873,Сквер «Афганцев»
174,район Соколиная Гора,"Малая Семёновская улица, между Медовым и Мажоровым переулками",нет,нет,нет,37.7104537042,55.7847809736,Сквер на Малой Семёновской Сквер дружбы
175,район Новокосино,Пересечение улицы Городецкая и улицы Суздальская,нет,нет,нет,37.8640886251,55.7441206753,Городецкий бульвар
176,район Новогиреево,Пересечение Полимерной улицы и Новогиреевской улицы,нет,да,нет,37.8019461183,55.7471029772,Русские узоры
177,район Восточный,Между Главной улицей и улицей 9 Мая,нет,нет,нет,37.8619770242,55.8173446268,Брошенный сад
178,район Косино-Ухтомский,"улица Лухмановская, владения 29-33",нет,да,да,37.9043086447,55.723929219,Парковая зона на Лухмановской улице
179,район Восточный,Пересечение улицы Западная и улицы 9 Мая,нет,нет,нет,37.8685411764,55.8160281312,Парк «Южный»
180,район Новогиреево,Зеленый проспект 76,нет,да,да,37.8271818567,55.7495864249,Сквер между Зелёным проспектом и Фрязевской улицей
181,район Богородское,Пересечение 7-го проезда Подбельского и Открытого шоссе,нет,да,да,37.7261469673,55.8103648048,Парковая зона на Открытом шоссе
182,район Косино-Ухтомский,Между Салтыковской улицей и Святым озером,нет,нет,нет,37.8766478428,55.7151969041,Сквер у храма
183,район Щукино,Парковая зона вблизи набережной канала реки Москвы по Авиационная улица,да,да,да,37.4481021036,55.8116402644,Щукинская набережная
184,район Южное Тушино,Лодочная улица,нет,да,да,37.4544985889,55.8363035448,Кленовый сквер
185,район Митино,Бульварная зона от Дубравной улицы до 3-го Митинского переулка,нет,да,да,37.3540850237,55.8462822148,Бульвар 70-летия Победы
186,район Хорошёво-Мнёвники,"Москва, Территория березовой рощи между ул 3 Хорошевская 7 и Новохорошевским проездом 10",нет,да,да,37.496054223,55.780794687,Парковая зона на территории народного парка «Березовая Роща» между 3-ей Хорошёвской улицей и Новохорошёвским проездом
187,район Покровское-Стрешнево,Большая Набережная 25,нет,нет,нет,37.4612946833,55.8342014348,Сквер на Набережной
188,район Щукино,"Улица Маршала Новикова, дом 12, корпус 2",нет,да,да,37.4645951371,55.8059795506,Сквер Юность
189,район Строгино,"улица Твардовского, дом 14, корпус 1-3",нет,нет,нет,37.4036286492,55.7938437214,Парк «Соколиная гора»
190,район Строгино,"Москва улица Таллинская, владение 32",нет,да,да,37.4090529752,55.8027255481,Парк «70 лет битвы под Москвой»
191,район Куркино,Соловьиная роща 8-10,нет,да,нет,37.3994276333,55.8923325946,Соловьиная Роща
192,район Щукино,Бочвара 17,нет,да,да,37.4518105065,55.8028808513,Живописный сквер
193,район Строгино,улица Исаковского 24,нет,да,да,37.408617188,55.8077377697,Парк Скворечный
194,район Южное Тушино,вдоль Сходненской улицы,нет,нет,нет,37.4397234706,55.8474935581,Сходненский сквер
195,Даниловский район,Даниловская площадь,нет,нет,нет,37.6226159725,55.712097294,Сквер у пам. Даниилу Московскому
196,район Бирюлёво Западное,Харьковская улица,нет,нет,нет,37.6398925781,55.5880696533,Бульвар вдоль Харьковской улицы
197,район Чертаново Северное,улица Чертановская дом 8,нет,да,да,37.5941132035,55.6312422937,Народный парк «Чертановское подворье»
198,район Чертаново Северное,"Сумской проезд, дом 29",нет,да,нет,37.5883931434,55.6282339863,Детский парк на Сумском проезде
199,район Бирюлёво Западное,"Медынская улица, дом7а",нет,да,да,37.6476901123,55.5826560617,Парк «Школьный»
200,район Москворечье-Сабурово,"от улицы Кошкина, дом 12 корпус 1 до Кантемировской улицы, дом 18, корпус 5",нет,да,да,37.6715633456,55.6398983329,Народный парк вдоль Кантемировской улицы
201,Даниловский район,"Восточная улица, дом 4",нет,да,да,37.6548074387,55.7127394388,Детский парк на Восточной улице
202,район Братеево,"улица Ключевая, владение 6",нет,нет,нет,37.7613805721,55.6350152849,Народный парк «Исток»
203,Даниловский район,"улица Большая Тульская, дом 11",нет,нет,нет,37.6229291218,55.7111529588,Японский сад камней на Большой Тульской улице
204,Даниловский район,"улица Ленинская Слобода, дом 26",нет,нет,нет,37.6582736952,55.7113656765,Мини-парк на Восточной улице
205,Донской район,"Окружен: Донской улицей, 3-им Донским проездом, улицей Стасовой, 4-ым Донским проездом",нет,да,нет,37.5989121756,55.7140937613,Донской сквер
