"Lat","Lon","Id","Number","Cells__global_id","Cells__Name","Cells__IsNetObject","Cells__OperatingCompany","Cells__AdmArea","Cells__District","Cells__Address","Cells__PublicPhone__PublicPhone","Cells__SeatsCount","Cells__SocialPrivileges","Cells__Longitude_WGS84","Cells__Latitude_WGS84"
"55.78812","37.635323","e4e6fb32-9056-4474-9edd-86eddb0cf06c","434","64727839","Свинья и мышь","нет","null","Центральный административный округ","Мещанский район","проспект Мира, дом 70","(905) 567-35-25","15","нет","37.6353230000000000","55.7881200000000000"
"55.65268320158988","37.646495300716929","41dfe44b-78d9-4144-8767-327f872bd16a","435","64727883","FanZone","нет","null","Южный административный округ","район Москворечье-Сабурово","Каширское шоссе, дом 26","(495) 966-00-02","60","нет","37.6464953007169290","55.6526832015898800"
"55.7644189563908","37.78560118797305","d0fa167e-9df4-4548-926a-e488f781f626","436","64727901","КАЛЬЯННАЯ","нет","null","Восточный административный округ","район Перово","шоссе Энтузиастов, дом 76/1","(499) 304-35-24","12","нет","37.7856011879730500","55.7644189563907990"
"55.635035","37.436903","af853786-fc24-446f-b502-5800f3dd985e","437","64727938","Кальянная Siroccoclub","нет","null","Новомосковский административный округ","поселение Московский","Киевское шоссе, 22-й километр, домовладение 4, строение 2","(495) 741-37-70","24","нет","37.4369030000000000","55.6350350000000000"
"55.624652","37.304204","93c159d2-9d9d-433a-8a40-af11d70ef534","438","64727959","Пивной салон ПАБ","нет","null","Новомосковский административный округ","поселение Внуковское","улица Лётчика Ульянина, дом 2","(985) 345-62-82","16","нет","37.3042040000000000","55.6246520000000000"
"55.811998","37.728353","a726b6e0-2893-48ed-a344-05c153cbdd7e","439","64727974","ТОРТУГА","нет","null","Восточный административный округ","район Богородское","бульвар Маршала Рокоссовского, дом 8, корпус 4","(985) 876-46-96","24","нет","37.7283530000000000","55.8119980000000000"
"55.852846868991378","37.585854174229553","2c20cb57-37a3-45e6-a8f0-dd7fb650b210","440","64727977","ТК АЛТУФЬЕВСКИЙ КАФЕ ШАШЛЫЧНЫЙ ДВОРИК","нет","null","Северо-Восточный административный округ","район Отрадное","Алтуфьевское шоссе, дом 8","(926) 814-29-65","70","нет","37.5858541742295530","55.8528468689913780"
"55.708389","37.625487","23738e0e-f196-438a-a3c4-341f461c78e2","441","64728009","Диско-бар","нет","null","Южный административный округ","Даниловский район","Холодильный переулок, дом 3","(495) 952-22-27","150","нет","37.6254870000000000","55.7083890000000000"
"55.826752289264448","37.444926408329046","1e008e7f-36e8-496d-826b-ee7df0ce1b6b","442","64728040","Кружка","да","Кружка","Северо-Западный административный округ","район Покровское-Стрешнево","Тушинская улица, дом 17","(495) 663-37-43","90","нет","37.4449264083290460","55.8267522892644480"
"55.783089","37.734201","e747c271-0913-40d1-bc78-ab1dd57ce838","443","64728711","Дискаунт-бар «KILLFISH»","да","KillFish Discount Ваг","Восточный административный округ","район Соколиная Гора","Щербаковская улица, дом 53, корпус 15","(800) 333-09-77","80","нет","37.7342010000000000","55.7830890000000000"
