,distr,address,phone,hasrent,hastoilet,latitude,longitude
106,район Косино-Ухтомский,"Лухмановская улица, дом 27",(499) 367-89-18,нет,нет,55.72577392296701,37.91425801994176
107,район Царицыно,"Бакинская улица, дом 5",(495) 321-48-33,нет,нет,55.62621673816977,37.66050732321076
108,район Москворечье-Сабурово,"улица Борисовские Пруды, дом 1, строение 9",(499) 725-43-94,нет,нет,55.63477888111953,37.71523155945201
109,район Покровское-Стрешнево,"Иваньковское шоссе, дом 6",(499) 199-01-10,нет,нет,55.81829512089469,37.48393592344983
110,район Старое Крюково,"площадь Колумба, дом 1",(499) 732-19-40,нет,нет,55.987531307951144,37.191065594503115
111,район Братеево,"улица Борисовские Пруды, дом 44",(495) 342-68-69,да,нет,55.64493392848947,37.772006798462236
112,район Южное Бутово,"улица Маршала Савицкого, дом 18",(495) 712-70-11,нет,нет,55.50521433061799,37.58805345878477
113,район Кузьминки,"улица Заречье, владение 14",(495) 258-45-60,нет,да,55.67130427908405,37.824002291013336
114,район Кузьминки,"улица Заречье, владение 14",(495) 258-45-60,нет,да,55.689722621540085,37.77477198751801
115,район Кузьминки,"улица Заречье, владение 14",(495) 258-45-60,нет,да,55.689965786830214,37.75403187164302
116,район Кузьминки,"улица Заречье, владение 14",(495) 258-45-60,нет,да,55.685551206960426,37.80567468526148
117,район Кузьминки,"улица Заречье, владение 14",(495) 258-45-60,нет,да,55.691533159230815,37.84254604490633
118,район Сокольники,"проезд Сокольнического Круга, дом 5",,нет,нет,55.79375011738964,37.677846599319224
119,район Сокольники,"3-й Лучевой просек, дом 12, строение 3",,нет,нет,55.811139234421205,37.66530855667121
120,район Сокольники,"Поперечный просек, дом 17, корпус 2",,нет,нет,55.804472011564485,37.66378081216419
121,район Сокольники,"4-й Лучевой просек, дом 6",,нет,нет,55.8029282165178,37.67051895401095
122,район Южное Бутово,"Южнобутовская улица, дом 137",(499) 724-57-04,нет,нет,55.53096589528694,37.51094650400523
123,район Сокольники,"Майский просек, дом 1",,нет,нет,55.79576830764839,37.67743489788825
124,район Сокольники,"6-й Лучевой просек, дом 3",,нет,нет,55.797667951189254,37.67753989087524
125,Донской район,"Загородное шоссе, дом 2А, сооружение 1",(499) 175-33-69,нет,нет,55.6980462393495,37.609432515848916
126,район Чертаново Центральное,"Чертановская улица, дом 32, корпус 1",(495) 175-33-69,нет,нет,55.61728085201151,37.591972689472236
127,район Братеево,"Братеевская улица, владение 4, корпус 1",(499) 175-33-69,нет,да,55.629291546583936,37.76074827330496
128,Ярославский район,"улица Ротерта, дом 5",(495) 579-29-77,нет,нет,55.87299012284285,37.72276785952321
